winnerIndex,seed,turns,crystalWin,unitWin,co_generations,co_sumChampionHostFindGen,co_championHostFitnesses,co_sumChampionParasiteFindGen,co_championParasiteFitnesses,oe_generations,oe_sumChampionHostFindGen,oe_championFitnesses
,,,,,38.0,,-528.1666666666666,,87.4,546.0,,3323.0
,,,,,53.0,,252.33333333333334,,48.84375,556.0,,1483.0
,,,,,55.0,,296.5,,152.51724137931035,549.0,,1783.0
,,,,,46.0,,776.3333333333334,,7.344827586206897,543.0,,633.0
,,,,,55.0,,1165.1666666666667,,63.32,551.0,,1603.0
,,,,,54.0,,1663.8333333333333,,26.0,515.0,,2075.0
,,,,,55.0,,2306.0,,41.578947368421055,545.0,,-20.0
,,,,,55.0,,1926.5,,-1.375,585.0,,360.0
,,,,,52.0,,3106.8333333333335,,22.647058823529413,601.0,,-365.0
,,,,,61.0,,1492.6666666666667,,-10.170731707317072,626.0,,-665.0
,,,,,55.0,,1459.6666666666667,,-32.5,848.0,,315.0
,,,,,59.0,,1412.0,,28.565217391304348,582.0,,2722.0
,,,,,63.0,,374.5,,62.5,584.0,,3970.0
,,,,,55.0,,-83.0,,84.68181818181819,614.0,,2842.0
,,,,,62.0,,702.0,,233.33333333333334,546.0,,3580.0
,,,,,56.0,,-1577.4333333333334,,177.8095238095238,599.0,,3184.0
,,,,,60.0,,-3178.5,,255.46666666666667,633.0,,4072.0
,,,,,63.0,,-3510.5,,226.1,689.0,,4322.0
,,,,,63.0,,-11701.0,,699.0,620.0,,14135.0
,,,,,68.0,,-14126.666666666666,,949.7333333333333,596.0,,16696.0
,,,,,69.0,,-14465.3,,803.1111111111111,643.0,,18246.0
,,,,,64.0,,-17217.233333333334,,871.8,692.0,,19276.0
,,,,,70.0,,-20763.5,,1281.0588235294117,614.0,,21938.0
,,,,,81.0,,-23787.166666666668,,1487.25,663.0,,24266.0
