rhca_hostChampionFitnessWin,rhca_parasiteChampionFitnessWin,rhcaPortfolio_hostChampionFitnessWin,rhcaPortfolio_parasiteChampionFitnessWin,rhca_hostChampionFitnessLose,rhca_parasiteChampionFitnessLose,rhcaPortfolio_hostChampionFitnessLose,rhcaPortfolio_parasiteChampionFitnessLose,rhca_hostChampionFitnessTie,rhca_parasiteChampionFitnessTie,rhcaPortfolio_hostChampionFitnessTie,rhcaPortfolio_parasiteChampionFitnessTie
0.0,0.0,483.5424999999975,121.90444502343387,1223.930833333334,89.12107453208553,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,715.7627500000001,116.68457169580965,1027.9742500000007,93.84014401268884,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1010.1229999999987,109.96130375611432,945.8610000000008,98.4646505233672,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1331.0738333333322,108.05369824784782,830.1065833333366,105.89162773075734,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1586.0856666666668,114.7355382453459,875.1151666666644,107.42639181844991,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1725.1791666666663,114.79973053735051,651.9124999999999,116.06452683346068,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1834.8150000000007,109.84795352849527,311.32766666666566,126.29380012650222,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1606.7312499999994,99.67903883453033,186.6382500000002,128.69884625225302,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1369.191666666666,95.96347593582884,192.5313333333338,133.32113548577325,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1462.1087500000017,88.93603433183691,186.74916666666684,139.94038572474835,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,1747.6833333333361,76.63145743895734,-37.83333333333462,147.09185718034993,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,2014.6837500000006,65.06050891256923,-336.85291666666944,148.34035315026244,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,2191.095,56.59864860426933,-734.661666666665,155.65936157778935,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,2328.500833333332,52.78931878868255,-909.6262499999998,175.09840019913594,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,2589.206666666666,55.826089907793325,-1009.9766666666662,216.5599301686625,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,2935.612500000001,58.14989064362885,-1147.445833333334,248.2534335152591,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,3510.4183333333367,55.98315469279643,-1394.596666666668,236.89327879512024,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,3990.7670833333345,45.639051463186846,-1641.8551666666692,219.88166967097266,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,4111.826666666665,33.92924998217857,-2029.065666666664,263.9462965736015,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,4334.663749999998,30.11559177538294,-2299.1436666666636,305.5785438605251,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
