"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_sumChampionHostFindGen","co_sumChampionParasiteFindGen","oe_generations","oe_sumChampionHostFindGen"
"","","","","","33.0","","","328.0",""
"","","","","","32.0","","","283.0",""
"","","","","","34.0","","","297.0",""
"","","","","","32.0","","","311.0",""
"","","","","","33.0","","","303.0",""
"","","","","","34.0","","","330.0",""
"","","","","","34.0","","","380.0",""
"","","","","","35.0","","","368.0",""
"","","","","","","","","355.0",""
"1","883083666023","69","True","False","27.0","1227.0","1227.0","1480.0","4030.0"
"","","","","","24.0","","","843.0",""
"","","","","","20.0","","","758.0",""
"","","","","","10.0","","","49.0",""
"","","","","","19.0","","","440.0",""
"","","","","","16.0","","","449.0",""
"","","","","","15.0","","","366.0",""
"","","","","","38.0","","","55.0",""
"","","","","","25.0","","","403.0",""
"","","","","","37.0","","","516.0",""
"","","","","","35.0","","","464.0",""
"","","","","","32.0","","","405.0",""
"","","","","","33.0","","","386.0",""
"","","","","","35.0","","","373.0",""
"","","","","","38.0","","","398.0",""
"","","","","","39.0","","","402.0",""
"","","","","","43.0","","","516.0",""
"","","","","","39.0","","","513.0",""
"","","","","","36.0","","","487.0",""
"","","","","","39.0","","","480.0",""
"","","","","","40.0","","","532.0",""
"","","","","","39.0","","","492.0",""
"","","","","","40.0","","","462.0",""
"","","","","","39.0","","","471.0",""
"","","","","","41.0","","","518.0",""
"","","","","","40.0","","","554.0",""
"","","","","","41.0","","","507.0",""
"","","","","","42.0","","","546.0",""
"","","","","","46.0","","","586.0",""
"","","","","","47.0","","","599.0",""
"","","","","","46.0","","","725.0",""
"","","","","","54.0","","","631.0",""
"","","","","","59.0","","","823.0",""
"","","","","","53.0","","","844.0",""
"","","","","","","","","996.0",""
"1","387640322260","48","False","True","16.0","916.0","1066.0","101.0","3696.0"
"","","","","","13.0","","","40.0",""
"","","","","","46.0","","","49.0",""
"","","","","","47.0","","","443.0",""
"","","","","","43.0","","","391.0",""
"","","","","","42.0","","","393.0",""
"","","","","","38.0","","","381.0",""
"","","","","","37.0","","","352.0",""
"","","","","","37.0","","","426.0",""
"","","","","","35.0","","","375.0",""
"","","","","","35.0","","","355.0",""
"","","","","","35.0","","","407.0",""
"","","","","","37.0","","","436.0",""
"","","","","","38.0","","","460.0",""
"","","","","","43.0","","","463.0",""
"","","","","","42.0","","","598.0",""
"","","","","","44.0","","","560.0",""
"","","","","","44.0","","","589.0",""
"","","","","","47.0","","","592.0",""
"","","","","","46.0","","","600.0",""
"","","","","","48.0","","","555.0",""
"","","","","","50.0","","","638.0",""
"","","","","","53.0","","","629.0",""
"","","","","","150.0","","","608.0",""
"1","801730969266","66","False","True","36.0","1382.0","1549.0","1646.0","3337.0"
"","","","","","25.0","","","60.0",""
"","","","","","15.0","","","627.0",""
"","","","","","40.0","","","52.0",""
"","","","","","40.0","","","430.0",""
"","","","","","38.0","","","345.0",""
"","","","","","38.0","","","388.0",""
"","","","","","35.0","","","383.0",""
"","","","","","37.0","","","348.0",""
"","","","","","35.0","","","372.0",""
"","","","","","39.0","","","377.0",""
"","","","","","34.0","","","371.0",""
"","","","","","36.0","","","411.0",""
"","","","","","40.0","","","426.0",""
"","","","","","41.0","","","449.0",""
"","","","","","38.0","","","511.0",""
"","","","","","38.0","","","442.0",""
"","","","","","39.0","","","506.0",""
"","","","","","41.0","","","503.0",""
"","","","","","37.0","","","582.0",""
"","","","","","40.0","","","531.0",""
"","","","","","47.0","","","520.0",""
"","","","","","46.0","","","544.0",""
"","","","","","55.0","","","589.0",""
"","","","","","53.0","","","579.0",""
"","","","","","54.0","","","560.0",""
"","","","","","55.0","","","558.0",""
"","","","","","58.0","","","550.0",""
"","","","","","56.0","","","792.0",""
"","","","","","59.0","","","752.0",""
"","","","","","63.0","","","780.0",""
"","","","","","73.0","","","867.0",""
"","","","","","168.0","","","826.0",""
"1","997958310684","51","False","True","33.0","949.0","950.0","1708.0","4122.0"
